id,title,year,slug,runtime_min,sktorrent_video_id,sktorrent_cdn,sktorrent_qualities,has_dub,has_subtitles,csfd_rating,imdb_rating,priority_score,imdb_id,csfd_id,detail_url,prehrajto_verdict,prehrajto_candidates,prehrajto_best_url,prehrajto_best_title,prehrajto_search_url
8366,Tony má plán,2025,tony-ma-plan,,54270,10,"720p,480p",t,f,61,5.3,11.40,tt38074081,1517432,https://ceskarepublika.wiki/filmy-online/tony-ma-plan/,NONE,0,,,https://prehraj.to/hledej/Tony%20m%C3%A1%20pl%C3%A1n
8420,"Istanbul, poslední výzva",2023,istanbul-posledni-vyzva,,33436,17,"720p,480p",t,f,61,5.3,11.40,tt23334616,244168,https://ceskarepublika.wiki/filmy-online/istanbul-posledni-vyzva/,FOUND,7,https://prehraj.to/istanbul-posledni-vyzva-2023-czdab/6566372454c44,"Istanbul, poslední výzva (2023) CZdab",https://prehraj.to/hledej/Istanbul%2C%20posledn%C3%AD%20v%C3%BDzva
9350,Tady cesta končí,2022,tady-cesta-konci,,25102,12,"720p,480p",t,f,66,4.8,11.40,tt13655328,1565,https://ceskarepublika.wiki/filmy-online/tady-cesta-konci/,FOUND,10,https://prehraj.to/tady-cesta-konci-2022-cz-dabing-1080p/631b0a5846282,Tady cesta konci 2022 CZ dabing 1080p,https://prehraj.to/hledej/Tady%20cesta%20kon%C4%8D%C3%AD
8480,Dům na dně jezera,2021,dum-na-dne-jezera,,19816,6,"720p,480p",f,t,61,5.3,11.40,tt11686490,816875,https://ceskarepublika.wiki/filmy-online/dum-na-dne-jezera/,MAYBE,1,https://prehraj.to/dum-na-dne-jezera-2021-mp4/041c780d42c40dec,Dům na dně jezera 2021.mp4,https://prehraj.to/hledej/D%C5%AFm%20na%20dn%C4%9B%20jezera
7053,Guernika,2016,gernika,,24594,9,"720p,480p",t,f,56,5.8,11.40,tt2556114,55496,https://ceskarepublika.wiki/filmy-online/gernika/,NONE,0,,,https://prehraj.to/hledej/Guernika
8103,แม่ซื้อ,2025,host-2025,,52771,14,"720p,480p",f,t,60,5.4,11.40,tt38624355,,https://ceskarepublika.wiki/filmy-online/host-2025/,NONE,0,,,https://prehraj.to/hledej/%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD
8117,After Party,2024,after-party,,44245,13,"720p,480p",t,f,60,5.4,11.40,tt29719529,1544827,https://ceskarepublika.wiki/filmy-online/after-party/,FOUND,6,https://prehraj.to/after-party-2024-cz-dab-1080p/14967e69d8fdf5fc,After Party 2024 CZ dab 1080p,https://prehraj.to/hledej/After%20Party
8355,Hoši z Abu Ghraib,2014,hosi-z-abu-ghraib,,11730,20,"720p,480p",t,f,60,5.4,11.40,tt1965162,315005,https://ceskarepublika.wiki/filmy-online/hosi-z-abu-ghraib/,FOUND,5,https://prehraj.to/hosi-z-abu-ghraib/5f25c6e73576e,Hosi z Abu Ghraib,https://prehraj.to/hledej/Ho%C5%A1i%20z%20Abu%20Ghraib
8328,Cesta bojovníka,2007,cesta-bojovnika,,1646,24,"480p,240p",t,f,60,5.4,11.40,tt0446013,21746,https://ceskarepublika.wiki/filmy-online/cesta-bojovnika/,FOUND,32,https://prehraj.to/cesta-bojovnika-karl-urban-moon-bloodgood-russell-means-2007-valecny-drama-akcni-dobrodruzny-1080p/6820ad68b60c8,"Cesta bojovníka (Karl Urban,Moon Bloodgood,Russell Means-2007 Válečný-Drama-Akční-Dobrodružný-1080p",https://prehraj.to/hledej/Cesta%20bojovn%C3%ADka
7804,Mimo stopu 2: V jednom kole,2025,mimo-stopu-2-v-jednom-kole,,46282,12,"720p,480p",t,f,59,5.5,11.40,tt32598081,1618333,https://ceskarepublika.wiki/filmy-online/mimo-stopu-2-v-jednom-kole/,FOUND,15,https://prehraj.to/mimo-stopu-2-v-jednom-kole-2025-cz-dab/68c8ef82d8a6b,Mimo stopu 2 V jednom kole 2025 CZ dab,https://prehraj.to/hledej/Mimo%20stopu%202
9005,High School Heist,2025,high-school-heist,,49665,22,"720p,480p",t,f,64,5,11.40,tt34818200,1612908,https://ceskarepublika.wiki/filmy-online/high-school-heist/,NONE,0,,,https://prehraj.to/hledej/High%20School%20Heist
6219,Deník mému synovi,2021,denik-memu-synovi,,26574,14,"720p,480p",t,f,54,6,11.40,tt0995854,1025035,https://ceskarepublika.wiki/filmy-online/denik-memu-synovi/,NONE,0,,,https://prehraj.to/hledej/Den%C3%ADk%20m%C3%A9mu%20synovi
7965,Špióni,2019,spioni,,9461,5,"720p,480p,360p",f,t,59,5.5,11.40,tt8028842,735456,https://ceskarepublika.wiki/filmy-online/spioni/,FOUND,32,https://prehraj.to/spioni-v-prevleku-2019-czdabing/5e8b1b24d5063,Špioni v převleku 2019 CZdabing,https://prehraj.to/hledej/%C5%A0pi%C3%B3ni
